indicador,fecha,kpi,nota,store_nbr,disponota,fecha_ejecucion,relleno_disponota
PI,2023-06-04,40.92,4.0,573,6.43,2023-06-05T07:45:17.601902,false
PI,2023-05-29,33.53,2.0,655,4.93,2023-06-05T07:45:17.601902,false
PI,2023-05-29,48.64,5.0,503,7.62,2023-06-05T07:45:17.601902,false
PI,2023-06-01,65.03,6.0,134,9.16,2023-06-05T07:45:17.601902,false
PI,2023-06-01,56.81,4.0,125,8.38,2023-06-05T07:45:17.601902,false
PI,2023-06-04,44.48,4.0,948,8.35,2023-06-05T07:45:17.601902,false
PI,2023-06-04,61.38,5.0,431,9.33,2023-06-05T07:45:17.601902,false
PI,2023-06-02,54.44,4.0,668,8.48,2023-06-05T07:45:17.601902,false
PI,2023-05-31,59.73,5.0,18,8.25,2023-06-05T07:45:17.601902,false
PI,2023-06-03,51.25,4.0,38,8.34,2023-06-05T07:45:17.601902,false
PI,2023-05-29,56.78,4.0,230,8.86,2023-06-05T07:45:17.601902,false
PI,2023-05-31,72.4,7.0,4,9.39,2023-06-05T07:45:17.601902,false
PI,2023-06-01,54.44,4.0,668,8.48,2023-06-05T07:45:17.601902,false
PI,2023-05-31,43.28,4.0,451,7.28,2023-06-05T07:45:17.601902,false
PI,2023-05-31,48.64,5.0,179,8.27,2023-06-05T07:45:17.601902,false
PI,2023-06-01,56.52,4.0,462,5.96,2023-06-05T07:45:17.601902,false
PI,2023-05-30,50.75,4.0,126,8.02,2023-06-05T07:45:17.601902,false
PI,2023-05-30,48.64,5.0,503,7.72,2023-06-05T07:45:17.601902,false
PI,2023-06-02,56.16,4.0,242,6.86,2023-06-05T07:45:17.601902,false
PI,2023-05-30,41.32,2.0,632,7.76,2023-06-05T07:45:17.601902,false
PI,2023-05-30,56.81,4.0,125,8.33,2023-06-05T07:45:17.601902,false
PI,2023-05-29,54.5,4.0,457,7.76,2023-06-05T07:45:17.601902,false
PI,2023-05-30,55.77,4.0,56,7.43,2023-06-05T07:45:17.601902,false
PI,2023-06-04,49.37,4.0,426,7.35,2023-06-05T07:45:17.601902,false
PI,2023-05-30,49.52,4.0,679,7.25,2023-06-05T07:45:17.601902,false
PI,2023-06-01,57.22,4.0,603,6.89,2023-06-05T07:45:17.601902,false
PI,2023-05-30,56.52,4.0,462,6.66,2023-06-05T07:45:17.601902,false
PI,2023-05-29,37.87,2.0,180,7.21,2023-06-05T07:45:17.601902,false
PI,2023-05-29,45.57,4.0,783,8.24,2023-06-05T07:45:17.601902,false
PI,2023-06-03,56.49,6.0,540,7.15,2023-06-05T07:45:17.601902,false
PI,2023-05-29,51.68,5.0,595,7.87,2023-06-05T07:45:17.601902,false
PI,2023-06-02,49.35,5.0,512,8.46,2023-06-05T07:45:17.601902,false
PI,2023-05-31,37.66,3.0,578,7.67,2023-06-05T07:45:17.601902,false
PI,2023-06-02,50.71,4.0,696,7.25,2023-06-05T07:45:17.601902,false
PI,2023-06-01,34.95,3.0,585,4.9,2023-06-05T07:45:17.601902,false
PI,2023-06-04,53.22,4.0,142,8.48,2023-06-05T07:45:17.601902,false
PI,2023-06-02,60.85,5.0,422,7.27,2023-06-05T07:45:17.601902,false
PI,2023-05-29,46.3,3.0,94,8.12,2023-06-05T07:45:17.601902,false
PI,2023-06-04,54.01,4.0,252,7.88,2023-06-05T07:45:17.601902,false
PI,2023-05-29,47.25,4.0,534,7.9,2023-06-05T07:45:17.601902,false
PI,2023-05-30,64.82,5.0,75,8.46,2023-06-05T07:45:17.601902,false
PI,2023-06-01,38.29,3.0,560,7.95,2023-06-05T07:45:17.601902,false
PI,2023-05-29,53.11,5.0,198,7.66,2023-06-05T07:45:17.601902,false
PI,2023-05-31,38.39,3.0,535,7.71,2023-06-05T07:45:17.601902,false
PI,2023-06-04,60.89,5.0,644,8.04,2023-06-05T07:45:17.601902,false
PI,2023-06-04,69.34,9.0,527,8.78,2023-06-05T07:45:17.601902,false
PI,2023-05-29,28.48,2.0,648,6.88,2023-06-05T07:45:17.601902,false
PI,2023-06-02,52.08,5.0,537,6.56,2023-06-05T07:45:17.601902,false
PI,2023-06-04,46.2,3.0,988,5.95,2023-06-05T07:45:17.601902,false
PI,2023-06-03,56.91,4.0,207,4.67,2023-06-05T07:45:17.601902,false
PI,2023-06-01,45.46,3.0,144,7.45,2023-06-05T07:45:17.601902,false
PI,2023-06-01,54.89,4.0,65,7.93,2023-06-05T07:45:17.601902,false
PI,2023-06-02,48.72,3.0,443,6.19,2023-06-05T07:45:17.601902,false
PI,2023-06-02,42.15,2.0,977,6.54,2023-06-05T07:45:17.601902,false
PI,2023-05-31,45.31,3.0,209,3.84,2023-06-05T07:45:17.601902,false
